descriptor,N,S,score
((nA*np.cbrt((rB/rX)))*((nB/nX)+((rB/rX)/(rA/rB)))),261,0.9025,0.7069
(((nA)**-1/np.cbrt((rB/rX)))/((nB/nX)+((rB/rX)/(rA/rB)))),268,0.9538,0.7069
(((nA*nX)*np.cbrt((rB/rX)))*((nB/nX)+((rB/rX)/(rA/rB)))),269,0.9307,0.7069
(((nB/nX)+((rB/rX)/(rA/rB)))*((nA/(rA/rB))*((rA/rB)+(rA/rX)))),280,0.9103,0.6983
(((nA/rX)*(rB+rX))*((nB/nX)+((rB/rX)/(rA/rB)))),280,0.9103,0.6983
((((rA/rB)-(rB/rX))/(nA*(rA/rX)))-((nX)**-1/np.log((rA/rB)))),281,0.9013,0.7414
(((nA)**2*((rB/rX)/rX))*((nX/nA)+((rB/rX)/(rA/rB)))),286,0.7954,0.7328
(((nA/rB)*((rB/rX))**3)*((nA/(rA/rB))+(nX/(rB/rX)))),286,0.7955,0.7328
(((nA)**2*np.cbrt((rB/rX)))*((nB/nX)+((rB/rX)/(rA/rB)))),286,0.9683,0.6552
((((rA/rB)/nA)+((rB/rX)/nB))/(np.log((rA/rB))*np.sqrt((rB/rX)))),288,0.8920,0.7155
((((rA/rB)/nA)+((rA/rX)/nB))/(np.log((rA/rB))*np.sqrt((rB/rX)))),288,0.8966,0.7069
((np.log((rA/rB))*np.sqrt((rB/rX)))/(((rA/rB)/nA)+((rA/rX)/nB))),289,0.7432,0.7069
((np.log((rA/rB))*np.sqrt((rB/rX)))/(((rA/rB)/nA)+((rB/rX)/nB))),290,0.7125,0.7155
(((nA)**3*((rB/rX)/nX))*((nX/nA)+((rB/rX)/(rA/rB)))),290,0.7921,0.7414
((((rA/rB)+(rA/rX))/np.log((rA/rB)))/np.sqrt((nA*(rB/rX)))),291,0.8351,0.7241
(((rB/rX)/(nX*(rA/rB)))+(np.log((rB/rX))/(nA-nX))),291,0.9212,0.6983
((((rA/rB)+(rB/rX)))**3/((nA*(rA/rB))*((rA/rX)-(rB/rX)))),291,0.9285,0.7414
((((rA/rB)/nA)+((rA/rX)/nB))/((rA-rB)/(rA+rX))),292,0.8883,0.7241
(((rA/rB)/(nA*(rA/rX)))-((nX)**-1/np.log((rA/rB)))),292,0.8954,0.7328
(((nX)**-1/np.log((rA/rB)))-(rX/(nA*rB))),292,0.8954,0.7328
((np.exp(nA)*((rB/rX)/rX))*((nX/nA)+((rB/rX)/(rA/rB)))),293,0.7851,0.7500
(((nB)**-1/((rB/rX)-(rA/rB)))-(np.log(rX)/(nA*(rB/rX)))),293,0.9507,0.7586
(((nA)**2*(nX*(rB/rX)))*((nX/nA)+((rB/rX)/(rA/rB)))),294,0.8024,0.7328
(np.sqrt((nA*(rB/rX)))*(np.log((rA/rB))/((rA/rB)+(rA/rX)))),295,0.6922,0.7241
((((rA/rX)-(rB/rX))/np.exp((rA/rB)))/(np.exp(rB)/(nA*(rA/rB)))),296,0.7809,0.7155
(((nA*(rA/rB))*((rA/rX)-(rB/rX)))/(((rA/rB)+(rB/rX)))**3),297,0.7541,0.7414
(((nX*(rA/rB))/(nA*nB))/(np.log((rA/rB))*np.cbrt((rB/rX)))),297,0.9196,0.7500
(((nA*nB)*np.cbrt((rB/rX)))*(np.log((rA/rB))/(nX*(rA/rB)))),298,0.8121,0.7500
((((rA/rB)/nA)+((rB/rX)/nB))/((rA-rB)/(rA+rX))),298,0.8850,0.7155
((((rA/rX)-(rB/rX))/np.sqrt((rA/rX)))/(((rA/rB)/nA)+((rB/rX)/nB))),299,0.6909,0.7155
((np.exp(nA)*(nX*(rB/rX)))*((nX/nA)+((rB/rX)/(rA/rB)))),299,0.7943,0.7500
((((rA/rB)/nA)+((rB/rX)/nB))*(np.sqrt((rA/rX))/((rA/rX)-(rB/rX)))),299,0.8838,0.7155
((np.exp((rA/rB))/(nA*(rA/rB)))/((rA-rB)/np.exp(rB))),299,0.8962,0.6983
((np.exp((rA/rB))/((rA/rB)-(rB/rX)))/((nA*nX)*((rA/rX)-(rB/rX)))),299,0.9536,0.7414
((((rA/rB)+(rB/rX))/(nX*(rA/rB)))-(np.log((rB/rX))/(nX-nA))),299,0.9645,0.6983
(((rA-rB)/(rA+rX))/(((rA/rB)/nA)+((rA/rX)/nB))),300,0.7210,0.7241
((((rA/rB)-(rB/rX))*((rA/rX)-(rB/rX)))/(np.exp((rA/rB))/(nA*nX))),300,0.8742,0.7414
(((nA*(rA/rB))/np.exp((rA/rB)))/(np.exp(rB)/(rA-rB))),301,0.7288,0.6983
(((nA)**3*((rB/rX))**2)*((nA/(rA/rB))+(nX/(rB/rX)))),301,0.8008,0.6207
((((rA/rB)+(rB/rX))/(nA*(rA/rX)))-((nX)**-1/np.log((rA/rB)))),301,0.8896,0.7414
(np.exp((rB)**-1)/((nA/rA)-(nA/rB))),301,0.9038,0.7414
(np.exp(((rA/rB)/rA))/((nA/rA)-(nA/rB))),301,0.9038,0.7414
((np.exp(rB)*((rA/rB)/nA))/((nB*rB)*np.log((rA/rB)))),301,0.9676,0.7414
(((nA)**3*((rA/rX)/(rA/rB)))*((nX/nA)+((rB/rX)/(rA/rB)))),302,0.8044,0.6293
(((nA)**3*(rB/rX))*((nX/nA)+((rB/rX)/(rA/rB)))),302,0.8044,0.6293
(((nA)**3*(rB/rX))*((nX/nA)+((rB/rX)/(rA/rB)))),302,0.8044,0.6293
(((nA*nB)*(rB/(rA/rB)))*(np.log((rA/rB))/np.exp(rB))),302,0.8366,0.7414
((((rA/rB)+(rA/rX))*((rA/rB)+(rB/rX)))/((nA*(rA/rX))*np.log((rA/rB)))),302,0.9345,0.7500
np.abs(((nX*rA)/(nB)**3)-((rB-rX)/(nA)**2)),302,0.9880,0.7759
(((rA-rB)/(rA+rX))/(((rA/rB)/nA)+((rB/rX)/nB))),303,0.6920,0.7155
(((nA)**3*((rB/rX)/rX))*((nX/nA)+((rB/rX)/(rA/rB)))),303,0.8079,0.6293
((np.exp(rB)*((rA/rB)/rB))/(np.sqrt(nA)*np.log((rA/rB)))),303,0.8685,0.7328
((((rA/rB)+(rB/rX))/(nA*(rB/rX)))/(np.log((rA/rB))/np.exp((rB/rX)))),303,0.9231,0.7586
((((rA/rB)+(rB/rX))/(nA*rB))/(np.log((rA/rB))/(rB+rX))),303,0.9345,0.7500
(((nA*(rA/rB))*((rA/rX)-(rB/rX)))/(np.exp((rA/rB))+np.exp((rA/rX)))),304,0.7012,0.7500
(((nB)**-1/np.log((rA/rB)))+(((rA/rB)+(rB/rX))/(nA*(rA/rX)))),304,0.9237,0.7414
((((rA/rX)-(rB/rX))/np.exp((rA/rB)))/(np.sqrt(rB)/(nA*(rA/rB)))),305,0.7454,0.7328
((np.log((rA/rB))*np.sqrt((rB/rX)))/(((rA/rB)+(rB/rX))/nA)),305,0.7466,0.6552
(((nA*(rA/rX))/np.exp((rA/rB)))*((nA*(rB/rX))+(nX*(rA/rB)))),305,0.7600,0.7241
(((nA*(rB/rX))*np.log((rA/rB)))/(np.exp((rB/rX))*((rA/rB)+(rB/rX)))),305,0.7697,0.7586
(((rA/rB)/np.cbrt((rB/rX)))/(np.sqrt(nA)*np.log((rA/rB)))),305,0.8763,0.7241
((((rA/rB)/nA)+((rA/rX)/nB))*(np.cbrt((rA/rX))/((rA/rX)-(rB/rX)))),305,0.8930,0.7155
((np.exp((rA/rB))/((rA/rX)-(rB/rX)))/((nA*(rA/rB))/np.sqrt(rB))),305,0.9159,0.7328
((((rA/rB)+(rB/rX))/np.log((rA/rB)))/(nA*np.sqrt((rB/rX)))),305,0.9180,0.6552
(((nA/rX)*np.cbrt(rB))*((nB/nX)+((rB/rX)/(rA/rB)))),305,0.9193,0.7069
((((rA/rB)+(rB/rX)))**2/((nA*(rA/rX))*np.log((rA/rB)))),305,0.9241,0.7328
((np.sqrt(rB)*np.log((rA/rB)))/(((rA/rB)/nA)+((rB/rX)/nB))),306,0.7121,0.7155
((((rA/rX)-(rB/rX))/np.cbrt((rA/rX)))/(((rA/rB)/nA)+((rA/rX)/nB))),306,0.7249,0.7155
(((nA)**3*(nB*(rB/rX)))*((nX/nA)+((rB/rX)/(rA/rB)))),306,0.8082,0.7328
((((rA/rB)/nA)+((rB/rX)/nB))*(np.cbrt((rA/rX))/((rA/rX)-(rB/rX)))),306,0.8895,0.7155
((((rA/rB)/nA)+((rB/rX)/nB))/(np.sqrt(rB)*np.log((rA/rB)))),306,0.8915,0.7155
((np.sqrt((rA/rB))/((rA/rX)-(rB/rX)))/((nA/(rA/rX))+(nB/(rA/rB)))),306,0.9138,0.7586
(((nA/rA)-(nA/rB))/np.exp(((rA/rB)/rA))),307,0.7158,0.7414
(((nA/rA)-(nA/rB))/np.exp((rB)**-1)),307,0.7158,0.7414
((np.cbrt((rB/rX))/(rA/rB))*(np.sqrt(nA)*np.log((rA/rB)))),307,0.7739,0.7241
(((rB/rA)*np.cbrt((rB/rX)))*(np.sqrt(nA)*np.log((rA/rB)))),307,0.7739,0.7241
((np.log((rA/rB))*np.cbrt((rB/rX)))*(np.sqrt(nA)*((rB/rX)/(rA/rX)))),307,0.7741,0.7241
(((nA*(rA/rX))*np.log((rA/rB)))/(((rA/rB)+(rA/rX))*((rA/rB)+(rB/rX)))),307,0.7886,0.7500
(((nA*rB)*np.log((rA/rB)))/((rB+rX)*((rA/rB)+(rB/rX)))),307,0.7886,0.7500
(((nA/(rA/rX))+(nB/(rA/rB)))*(((rA/rX)-(rB/rX))/np.sqrt((rA/rB)))),307,0.7967,0.7586
(((nA*nB)*np.cbrt(rB))*(np.log((rA/rB))/(nX*(rA/rB)))),307,0.8110,0.7500
((((rA/rB)+(rA/rX))/((rA/rX)-(rB/rX)))/np.sqrt((nA/(rA/rX)))),307,0.8448,0.7069
((((rA/rB)+(rA/rX))/(nA-nX))/((rA-rB)/(rA+rX))),307,0.9014,0.7155
((((rA/rB)/nA)+((rA/rX)/nB))*(np.sqrt((rA/rX))/((rA/rX)-(rB/rX)))),307,0.9015,0.7241
((np.exp((rA/rB))*np.sqrt((rB/rX)))/((nA*(rA/rB))*((rA/rX)-(rB/rX)))),307,0.9067,0.7328
(np.log((nA*(rB/rX)))*((nB/rB)*((rA/rB)-(rA/rX)))),307,0.9693,0.7241
(np.log((nA*(rB/rX)))*((nB/rB)*np.abs((rA/rB)-(rA/rX)))),307,0.9693,0.7241
(np.log((nA*(rB/rX)))*((nB/(rB/rX))*((rA/rB)-(rA/rX)))),307,0.9693,0.7155
(np.log((nA*(rB/rX)))*((nB/(rB/rX))*np.abs((rA/rB)-(rA/rX)))),307,0.9693,0.7155
((np.exp(rB)*((rA/rB)/(rB/rX)))/((nA*nB)*np.log((rA/rB)))),307,0.9779,0.7414
((((rA/rX)-(rB/rX))/np.cbrt((rA/rX)))/(((rA/rB)/nA)+((rB/rX)/nB))),308,0.6955,0.7155
((((rA/rX)-(rB/rX))/np.exp((rA/rB)))/(np.sqrt((rB/rX))/(nA*(rA/rB)))),308,0.7230,0.7328
(((nA*(rA/rB))*((rA/rX)-(rB/rX)))/np.exp(((rA/rB)+(rB/rX)))),308,0.7283,0.7414
((np.sqrt(rB)*np.log((rA/rB)))/(((rA/rB)/nA)+((rA/rX)/nB))),308,0.7457,0.7069
(((nA*(rA/rB))*((rA/rX)-(rB/rX)))/(np.exp(rA)+np.exp((rA/rB)))),308,0.7680,0.7500
(np.log((nA*rB))*((nB*(rA/rB))*((rA/rB)-(rA/rX)))),308,0.8731,0.7241
(np.log((nA*rB))*((nB*(rA/rB))*np.abs((rA/rB)-(rA/rX)))),308,0.8731,0.7241
(np.cbrt((nB/(rB/rX)))/((nX/(rA/rB))*np.log((rA/rB)))),308,0.8918,0.8190
((((rA/rB)/nA)+((rA/rX)/nB))/(np.sqrt(rB)*np.log((rA/rB)))),308,0.8997,0.7069
((((rA/rB)+(rB/rX))/((rA/rX)-(rB/rX)))/((nA*rX)/(rA+rX))),308,0.9119,0.7155
((((rA/rB)+(rB/rX))/(rA-rB))/(nA/(rA+rX))),308,0.9120,0.7155
(((nX*(rA/rB))/(nA*nB))/(np.cbrt(rB)*np.log((rA/rB)))),308,0.9184,0.7500
(((nA-nX)*(rA-rB))/((rA+rX)*((rA/rB)+(rA/rX)))),309,0.7317,0.7155
(((rB/(rA/rB))*np.log((rA/rB)))/(np.exp(rB)/np.sqrt(nA))),309,0.7461,0.7328
(((nA/rA)*(rA-rB))*(np.sqrt((rA/rX))/((rA/rB)+(rB/rX)))),309,0.7467,0.5948
(((nA/rX)*(rA-rB))/(np.sqrt((rA/rX))*((rA/rB)+(rB/rX)))),309,0.7467,0.5948
((((rA/rX)-(rB/rX))/((rA/rB)+(rB/rX)))/(np.sqrt((rA/rX))/nA)),309,0.7467,0.5948
(((nA*(rB/rX))*np.log((rA/rB)))/(np.cbrt((rB/rX))*((rA/rB)+(rB/rX)))),309,0.7938,0.7241
((((rA/rB)+(rA/rX))/(rA-rB))/(np.sqrt(nA)/(rA+rX))),309,0.8435,0.6638
(((nA*nB)*np.cbrt((rB/rX)))/((rA/rB)/np.log((rA/rB)))),309,0.8559,0.7500
(((nA*nB)*(rB/rA))*(np.log((rA/rB))*np.cbrt((rB/rX)))),309,0.8559,0.7500
(((nA*(rB/rX))*(nB/(rA/rX)))*(np.log((rA/rB))*np.cbrt((rB/rX)))),309,0.8561,0.7500
(np.cbrt((nA/(rB/rX)))/((nA/(rA/rB))*np.log((rA/rB)))),309,0.9109,0.7328
((((rA/rB)+(rB/rX))/((rA/rX)-(rB/rX)))/(nA/np.sqrt((rA/rX)))),309,0.9119,0.5948
(((rX/nA)*((rA/rB)+(rB/rX)))/((rA-rB)/np.sqrt((rA/rX)))),309,0.9120,0.5948
(np.exp((rX/rB))/((nA/(rB/rX))*np.log((rA/rB)))),309,0.9140,0.7414
(np.exp(((rA/rB)/(rA/rX)))/((nA/(rB/rX))*np.log((rA/rB)))),309,0.9140,0.7414
(np.exp(((rB/rX))**-1)/((nA/(rB/rX))*np.log((rA/rB)))),309,0.9140,0.7414
((((rA/rB)+(rA/rX))/(nA*(rA/rX)))-((nX)**-1/np.log((rA/rB)))),309,0.9157,0.7500
(((nX)**-1/np.log((rA/rB)))-((rB+rX)/(nA*rB))),309,0.9157,0.7500
((((rA/rB)+(rB/rX))/(nA*(rB/rX)))/(np.log((rA/rB))/np.cbrt((rB/rX)))),309,0.9358,0.7241
(((nA-nX)*np.log((rA/rB)))*(np.sqrt((rB/rX))/((rA/rB)+(rA/rX)))),310,0.7529,0.7241
(((nA)**3*((rB/rX)/nB))*((nX/nA)+((rB/rX)/(rA/rB)))),310,0.7545,0.7069
(((nA*(rB/rX))+(nX*(rA/rB)))/(np.exp((rA/rB))/(nA*rA))),310,0.7611,0.7241
(((nA)**3*(nX*(rB/rX)))*((nX/nA)+((rB/rX)/(rA/rB)))),310,0.8100,0.6293
