materials ,nA,nB,nX,rA,rB,rX,(rA/rB),(rA/rX),(rB/rX),exp_label
AgBrO3,1,5,-2,1.28,0.31,1.4,4.129032258,0.914285714,0.221428571,-1
AgCdBr3,1,2,-1,1.28,0.95,1.96,1.347368421,0.653061224,0.484693878,-1
PbAgBr3,2,1,-1,1.49,1.15,1.96,1.295652174,0.760204082,0.586734694,-1
AgCaCl3,1,2,-1,1.28,1,1.81,1.28,0.70718232,0.552486188,-1
AgClO3,1,5,-2,1.28,0.12,1.4,10.66666667,0.914285714,0.085714286,-1
AgMgCl3,1,2,-1,1.28,0.72,1.81,1.777777778,0.70718232,0.397790055,-1
AgSnCl3,1,2,-1,1.28,1.15,1.81,1.113043478,0.70718232,0.635359116,-1
PbAgF3,2,1,-1,1.49,1.15,1.33,1.295652174,1.120300752,0.864661654,-1
AgNO3,1,5,-2,1.28,0.13,1.4,9.846153846,0.914285714,0.092857143,-1
AgPO3,1,5,-2,1.28,0.38,1.4,3.368421053,0.914285714,0.271428571,-1
AgSbO3,1,5,-2,1.28,0.6,1.4,2.133333333,0.914285714,0.428571429,-1
AgVO3,1,5,-2,1.28,0.54,1.4,2.37037037,0.914285714,0.385714286,-1
AlBO3,3,3,-2,0.54,0.27,1.4,2,0.385714286,0.192857143,-1
FeAlO3,3,3,-2,0.78,0.54,1.4,1.444444444,0.557142857,0.385714286,-1
LiAsO3,1,5,-2,0.92,0.46,1.4,2,0.657142857,0.328571429,-1
NaAsO3,1,5,-2,1.39,0.46,1.4,3.02173913,0.992857143,0.328571429,-1
SbAsO3,3,3,-2,0.76,0.58,1.4,1.310344828,0.542857143,0.414285714,-1
CrBO3,3,3,-2,0.62,0.27,1.4,2.296296296,0.442857143,0.192857143,-1
ErBO3,3,3,-2,1.06,0.27,1.4,3.925925926,0.757142857,0.192857143,-1
EuBO3,3,3,-2,1.12,0.27,1.4,4.148148148,0.8,0.192857143,-1
FeBO3,3,3,-2,0.78,0.27,1.4,2.888888889,0.557142857,0.192857143,-1
GdBO3,3,3,-2,1.11,0.27,1.4,4.111111111,0.792857143,0.192857143,-1
HoBO3,3,3,-2,1.12,0.27,1.4,4.148148148,0.8,0.192857143,-1
InBO3,3,3,-2,0.92,0.27,1.4,3.407407407,0.657142857,0.192857143,-1
LaBO3,3,3,-2,1.36,0.27,1.4,5.037037037,0.971428571,0.192857143,-1
ScBO3,3,3,-2,0.87,0.27,1.4,3.222222222,0.621428571,0.192857143,-1
TmBO3,3,3,-2,1.05,0.27,1.4,3.888888889,0.75,0.192857143,-1
VBO3,3,3,-2,0.64,0.27,1.4,2.37037037,0.457142857,0.192857143,-1
YBO3,3,3,-2,1.08,0.27,1.4,4,0.771428571,0.192857143,-1
CsBaBr3,1,2,-1,1.88,1.35,1.96,1.392592593,0.959183673,0.68877551,-1
KBaBr3,1,2,-1,1.64,1.35,1.96,1.214814815,0.836734694,0.68877551,-1
BaNaBr3,2,1,-1,1.61,1.02,1.96,1.578431373,0.821428571,0.520408163,-1
RbBaBr3,1,2,-1,1.72,1.35,1.96,1.274074074,0.87755102,0.68877551,-1
BaCO3,2,4,-2,1.61,0.16,1.4,10.0625,1.15,0.114285714,-1
CsBaCl3,1,2,-1,1.88,1.35,1.81,1.392592593,1.038674033,0.745856354,-1
KBaCl3,1,2,-1,1.64,1.35,1.81,1.214814815,0.906077348,0.745856354,-1
BaLiCl3,2,1,-1,1.61,0.76,1.81,2.118421053,0.889502762,0.419889503,-1
BaNaCl3,2,1,-1,1.61,1.02,1.81,1.578431373,0.889502762,0.563535912,-1
BaCoO3,2,4,-2,1.61,0.53,1.4,3.037735849,1.15,0.378571429,-1
BaCrO3,2,4,-2,1.61,0.55,1.4,2.927272727,1.15,0.392857143,-1
CsBaF3,1,2,-1,1.88,1.35,1.33,1.392592593,1.413533835,1.015037594,-1
KBaF3,1,2,-1,1.64,1.35,1.33,1.214814815,1.233082707,1.015037594,-1
BaGeO3,2,4,-2,1.61,0.53,1.4,3.037735849,1.15,0.378571429,-1
BaMnO3,2,4,-2,1.61,0.53,1.4,3.037735849,1.15,0.378571429,-1
BaSiO3,2,4,-2,1.61,0.4,1.4,4.025,1.15,0.285714286,-1
KBeCl3,1,2,-1,1.64,0.45,1.81,3.644444444,0.906077348,0.248618785,-1
NaBeCl3,1,2,-1,1.39,0.45,1.81,3.088888889,0.767955801,0.248618785,-1
RbBeCl3,1,2,-1,1.72,0.45,1.81,3.822222222,0.950276243,0.248618785,-1
TlBeCl3,1,2,-1,1.7,0.45,1.81,3.777777778,0.939226519,0.248618785,-1
RbBeF3,1,2,-1,1.72,0.45,1.33,3.822222222,1.293233083,0.338345865,-1
KBiO3,1,5,-2,1.64,0.76,1.4,2.157894737,1.171428571,0.542857143,-1
LiBiO3,1,5,-2,0.92,0.76,1.4,1.210526316,0.657142857,0.542857143,-1
NaBiO3,1,5,-2,1.39,0.76,1.4,1.828947368,0.992857143,0.542857143,-1
CsBrO3,1,5,-2,1.88,0.31,1.4,6.064516129,1.342857143,0.221428571,-1
