materials ,nA,nB,nX,rA,rB,rX,exp_label
AgBrO3,1,5,-2,1.28,0.31,1.4,-1
AgCdBr3,1,2,-1,1.28,0.95,1.96,-1
PbAgBr3,2,1,-1,1.49,1.15,1.96,-1
AgCaCl3,1,2,-1,1.28,1,1.81,-1
AgClO3,1,5,-2,1.28,0.12,1.4,-1
AgMgCl3,1,2,-1,1.28,0.72,1.81,-1
AgSnCl3,1,2,-1,1.28,1.15,1.81,-1
PbAgF3,2,1,-1,1.49,1.15,1.33,-1
AgNO3,1,5,-2,1.28,0.13,1.4,-1
AgPO3,1,5,-2,1.28,0.38,1.4,-1
AgSbO3,1,5,-2,1.28,0.6,1.4,-1
AgVO3,1,5,-2,1.28,0.54,1.4,-1
AlBO3,3,3,-2,0.54,0.27,1.4,-1
FeAlO3,3,3,-2,0.78,0.54,1.4,-1
LiAsO3,1,5,-2,0.92,0.46,1.4,-1
NaAsO3,1,5,-2,1.39,0.46,1.4,-1
SbAsO3,3,3,-2,0.76,0.58,1.4,-1
CrBO3,3,3,-2,0.62,0.27,1.4,-1
ErBO3,3,3,-2,1.06,0.27,1.4,-1
EuBO3,3,3,-2,1.12,0.27,1.4,-1
FeBO3,3,3,-2,0.78,0.27,1.4,-1
GdBO3,3,3,-2,1.11,0.27,1.4,-1
HoBO3,3,3,-2,1.12,0.27,1.4,-1
InBO3,3,3,-2,0.92,0.27,1.4,-1
LaBO3,3,3,-2,1.36,0.27,1.4,-1
ScBO3,3,3,-2,0.87,0.27,1.4,-1
TmBO3,3,3,-2,1.05,0.27,1.4,-1
VBO3,3,3,-2,0.64,0.27,1.4,-1
YBO3,3,3,-2,1.08,0.27,1.4,-1
CsBaBr3,1,2,-1,1.88,1.35,1.96,-1
KBaBr3,1,2,-1,1.64,1.35,1.96,-1
BaNaBr3,2,1,-1,1.61,1.02,1.96,-1
RbBaBr3,1,2,-1,1.72,1.35,1.96,-1
BaCO3,2,4,-2,1.61,0.16,1.4,-1
CsBaCl3,1,2,-1,1.88,1.35,1.81,-1
KBaCl3,1,2,-1,1.64,1.35,1.81,-1
BaLiCl3,2,1,-1,1.61,0.76,1.81,-1
BaNaCl3,2,1,-1,1.61,1.02,1.81,-1
BaCoO3,2,4,-2,1.61,0.53,1.4,-1
BaCrO3,2,4,-2,1.61,0.55,1.4,-1
CsBaF3,1,2,-1,1.88,1.35,1.33,-1
KBaF3,1,2,-1,1.64,1.35,1.33,-1
BaGeO3,2,4,-2,1.61,0.53,1.4,-1
BaMnO3,2,4,-2,1.61,0.53,1.4,-1
BaSiO3,2,4,-2,1.61,0.4,1.4,-1
KBeCl3,1,2,-1,1.64,0.45,1.81,-1
NaBeCl3,1,2,-1,1.39,0.45,1.81,-1
RbBeCl3,1,2,-1,1.72,0.45,1.81,-1
TlBeCl3,1,2,-1,1.7,0.45,1.81,-1
RbBeF3,1,2,-1,1.72,0.45,1.33,-1
KBiO3,1,5,-2,1.64,0.76,1.4,-1
LiBiO3,1,5,-2,0.92,0.76,1.4,-1
NaBiO3,1,5,-2,1.39,0.76,1.4,-1
CsBrO3,1,5,-2,1.88,0.31,1.4,-1
KBrO3,1,5,-2,1.64,0.31,1.4,-1
NaBrO3,1,5,-2,1.39,0.31,1.4,-1
RbBrO3,1,5,-2,1.72,0.31,1.4,-1
TlBrO3,1,5,-2,1.7,0.31,1.4,-1
CaLiBr3,2,1,-1,1.34,0.76,1.96,-1
NaCaBr3,1,2,-1,1.39,1,1.96,-1
NaCdBr3,1,2,-1,1.39,0.95,1.96,-1
KCoBr3,1,2,-1,1.64,0.74,1.96,-1
LiCoBr3,1,2,-1,0.92,0.74,1.96,-1
CsMnBr3,1,2,-1,1.88,0.83,1.96,-1
CsNiBr3,1,2,-1,1.88,0.69,1.96,-1
CsTiBr3,1,2,-1,1.88,0.86,1.96,-1
LiMgBr3,1,2,-1,0.92,0.72,1.96,-1
SrLiBr3,2,1,-1,1.44,0.76,1.96,-1
NaMgBr3,1,2,-1,1.39,0.72,1.96,-1
RbMnBr3,1,2,-1,1.72,0.83,1.96,-1
SrNaBr3,2,1,-1,1.44,1.02,1.96,-1
RbNiBr3,1,2,-1,1.72,0.69,1.96,-1
CdCO3,2,4,-2,1.31,0.16,1.4,-1
CoCO3,2,4,-2,0.9,0.16,1.4,-1
MgCO3,2,4,-2,0.89,0.16,1.4,-1
PbCO3,2,4,-2,1.49,0.16,1.4,-1
SrCO3,2,4,-2,1.44,0.16,1.4,-1
CaCuCl3,2,1,-1,1.34,0.77,1.81,-1
NaCaCl3,1,2,-1,1.39,1,1.81,-1
CaLiF3,2,1,-1,1.34,0.76,1.33,-1
NaCaF3,1,2,-1,1.39,1,1.33,-1
KCaI3,1,2,-1,1.64,1,2.2,-1
NaCaI3,1,2,-1,1.39,1,2.2,-1
RbCaI3,1,2,-1,1.72,1,2.2,-1
CdCuCl3,2,1,-1,1.31,0.77,1.81,-1
NaCdCl3,1,2,-1,1.39,0.95,1.81,-1
NaCdF3,1,2,-1,1.39,0.95,1.33,-1
KCdI3,1,2,-1,1.64,0.95,2.2,-1
NaCdI3,1,2,-1,1.39,0.95,2.2,-1
TlCdI3,1,2,-1,1.7,0.95,2.2,-1
CdPbO3,2,4,-2,1.31,0.78,1.4,-1
CdSO3,2,4,-2,1.31,0.37,1.4,-1
CdSeO3,2,4,-2,1.31,0.5,1.4,-1
TeCdO3,4,2,-2,0.97,0.95,1.4,-1
KClO3,1,5,-2,1.64,0.12,1.4,-1
RbClO3,1,5,-2,1.72,0.12,1.4,-1
RbCoCl3,1,2,-1,1.72,0.74,1.81,-1
CsCrCl3,1,2,-1,1.88,0.8,1.81,-1
CrLiCl3,2,1,-1,0.8,0.76,1.81,-1
NaCrCl3,1,2,-1,1.39,0.8,1.81,-1
CsFeCl3,1,2,-1,1.88,0.78,1.81,-1
CsGeCl3,1,2,-1,1.88,0.73,1.81,-1
CsNiCl3,1,2,-1,1.88,0.69,1.81,-1
CsVCl3,1,2,-1,1.88,0.79,1.81,-1
RbEuCl3,1,2,-1,1.72,1.17,1.81,-1
RbFeCl3,1,2,-1,1.72,0.78,1.81,-1
KNiCl3,1,2,-1,1.64,0.69,1.81,-1
KSmCl3,1,2,-1,1.64,1.22,1.81,-1
LiMgCl3,1,2,-1,0.92,0.72,1.81,-1
LiNiCl3,1,2,-1,0.92,0.69,1.81,-1
PbLiCl3,2,1,-1,1.49,0.76,1.81,-1
VLiCl3,2,1,-1,0.79,0.76,1.81,-1
NaMnCl3,1,2,-1,1.39,0.83,1.81,-1
NaNiCl3,1,2,-1,1.39,0.69,1.81,-1
SnNaCl3,2,1,-1,1.15,1.02,1.81,-1
NaZnCl3,1,2,-1,1.39,0.74,1.81,-1
TlPbCl3,1,2,-1,1.7,1.19,1.81,-1
RbSrCl3,1,2,-1,1.72,1.18,1.81,-1
TlSrCl3,1,2,-1,1.7,1.18,1.81,-1
TlZnCl3,1,2,-1,1.7,0.74,1.81,-1
KCoI3,1,2,-1,1.64,0.74,2.2,-1
CoMnO3,2,4,-2,0.9,0.53,1.4,-1
CoSeO3,2,4,-2,0.9,0.5,1.4,-1
CoSiO3,2,4,-2,0.9,0.4,1.4,-1
TeCoO3,4,2,-2,0.97,0.74,1.4,-1
CoTiO3,2,4,-2,0.9,0.6,1.4,-1
CrMoO3,2,4,-2,0.8,0.65,1.4,-1
VCrO3,3,3,-2,0.64,0.62,1.4,-1
CsMnF3,1,2,-1,1.88,0.83,1.33,-1
CsGeI3,1,2,-1,1.88,0.73,2.2,-1
CsMgI3,1,2,-1,1.88,0.72,2.2,-1
CsMnI3,1,2,-1,1.88,0.83,2.2,-1
CsNiI3,1,2,-1,1.88,0.69,2.2,-1
CsSrI3,1,2,-1,1.88,1.18,2.2,-1
CsTiI3,1,2,-1,1.88,0.86,2.2,-1
CsVI3,1,2,-1,1.88,0.79,2.2,-1
CsNbO3,1,5,-2,1.88,0.64,1.4,-1
CsVO3,1,5,-2,1.88,0.54,1.4,-1
CuGeO3,2,4,-2,0.73,0.53,1.4,-1
CuNbO3,1,5,-2,0.77,0.64,1.4,-1
CuVO3,1,5,-2,0.77,0.54,1.4,-1
LiMgF3,1,2,-1,0.92,0.72,1.33,-1
MnLiF3,2,1,-1,0.96,0.76,1.33,-1
PbLiF3,2,1,-1,1.49,0.76,1.33,-1
LiZnF3,1,2,-1,0.92,0.74,1.33,-1
PbNaF3,2,1,-1,1.49,1.02,1.33,-1
RbSrF3,1,2,-1,1.72,1.18,1.33,-1
FeGaO3,3,3,-2,0.78,0.62,1.4,-1
TlFeI3,1,2,-1,1.7,0.78,2.2,-1
InFeO3,3,3,-2,0.92,0.64,1.4,-1
FeMnO3,2,4,-2,0.92,0.53,1.4,-1
FeSO3,2,4,-2,0.92,0.37,1.4,-1
FeSiO3,2,4,-2,0.92,0.4,1.4,-1
FeTiO3,2,4,-2,0.92,0.6,1.4,-1
InGaO3,3,3,-2,0.92,0.62,1.4,-1
RbGeI3,1,2,-1,1.72,0.73,2.2,-1
TlGeI3,1,2,-1,1.7,0.73,2.2,-1
MgGeO3,2,4,-2,0.89,0.53,1.4,-1
GeMnO3,2,4,-2,0.73,0.53,1.4,-1
NaHgI3,1,2,-1,1.39,1.02,2.2,-1
HgSeO3,2,4,-2,1.14,0.5,1.4,-1
ILiO3,5,1,-2,0.95,0.76,1.4,-1
KMgI3,1,2,-1,1.64,0.72,2.2,-1
KMnI3,1,2,-1,1.64,0.83,2.2,-1
KTiI3,1,2,-1,1.64,0.86,2.2,-1
KTmI3,1,2,-1,1.64,1.03,2.2,-1
LiMgI3,1,2,-1,0.92,0.72,2.2,-1
NaMgI3,1,2,-1,1.39,0.72,2.2,-1
RbMgI3,1,2,-1,1.72,0.72,2.2,-1
RbMnI3,1,2,-1,1.72,0.83,2.2,-1
TlMnI3,1,2,-1,1.7,0.83,2.2,-1
TlPbI3,1,2,-1,1.7,1.19,2.2,-1
RbSnI3,1,2,-1,1.72,1.15,2.2,-1
RbTiI3,1,2,-1,1.72,0.86,2.2,-1
RbVI3,1,2,-1,1.72,0.79,2.2,-1
RbYbI3,1,2,-1,1.72,1.02,2.2,-1
InMnO3,3,3,-2,0.92,0.64,1.4,-1
KNO3,1,5,-2,1.64,0.13,1.4,-1
KPO3,1,5,-2,1.64,0.38,1.4,-1
KSbO3,1,5,-2,1.64,0.6,1.4,-1
KVO3,1,5,-2,1.64,0.54,1.4,-1
LaTlO3,3,3,-2,1.36,0.88,1.4,-1
LiNO3,1,5,-2,0.92,0.13,1.4,-1
LiNbO3,1,5,-2,0.92,0.64,1.4,-1
LiPO3,1,5,-2,0.92,0.38,1.4,-1
LiReO3,1,5,-2,0.92,0.58,1.4,-1
LiSbO3,1,5,-2,0.92,0.6,1.4,-1
LiTaO3,1,5,-2,0.92,0.64,1.4,-1
LiVO3,1,5,-2,0.92,0.54,1.4,-1
MgSeO3,2,4,-2,0.89,0.5,1.4,-1
MgVO3,2,4,-2,0.89,0.58,1.4,-1
NiMnO3,2,4,-2,0.69,0.53,1.4,-1
MnSO3,2,4,-2,0.96,0.37,1.4,-1
MnSiO3,2,4,-2,0.96,0.4,1.4,-1
SnMnO3,2,4,-2,1.15,0.53,1.4,-1
TiMnO3,3,3,-2,0.67,0.64,1.4,-1
NaNO3,1,5,-2,1.39,0.13,1.4,-1
TlNO3,1,5,-2,1.7,0.13,1.4,-1
NaPO3,1,5,-2,1.39,0.38,1.4,-1
NaVO3,1,5,-2,1.39,0.54,1.4,-1
NiSeO3,2,4,-2,0.69,0.5,1.4,-1
NiTiO3,2,4,-2,0.69,0.6,1.4,-1
RbPO3,1,5,-2,1.72,0.38,1.4,-1
PbSO3,2,4,-2,1.49,0.37,1.4,-1
PbSeO3,2,4,-2,1.49,0.5,1.4,-1
PbSiO3,2,4,-2,1.49,0.4,1.4,-1
PbTeO3,2,4,-2,1.49,0.97,1.4,-1
RbVO3,1,5,-2,1.72,0.54,1.4,-1
TlSbO3,1,5,-2,1.7,0.6,1.4,-1
ZnSeO3,2,4,-2,0.9,0.5,1.4,-1
SrSiO3,2,4,-2,1.44,0.4,1.4,-1
ZnSiO3,2,4,-2,0.9,0.4,1.4,-1
SmYO3,3,3,-2,1.24,0.9,1.4,-1
ZnSnO3,2,4,-2,0.9,0.69,1.4,-1
TeZnO3,4,2,-2,0.97,0.74,1.4,-1
ZnTiO3,2,4,-2,0.9,0.6,1.4,-1
TlVO3,3,3,-2,0.98,0.64,1.4,-1
YYbO3,3,3,-2,1.08,0.87,1.4,-1
AgCoF3,1,2,-1,1.28,0.74,1.33,1
AgCuF3,1,2,-1,1.28,0.73,1.33,1
AgMgF3,1,2,-1,1.28,0.72,1.33,1
AgMnF3,1,2,-1,1.28,0.83,1.33,1
